rgb,r,g,b,Label
"0,62,146",0,62,146,brightBlue
"0,57,142",0,57,142,brightBlue
"1,57,133",1,57,133,brightBlue
"1,50,127",1,50,127,brightBlue
"0,55,137",0,55,137,brightBlue
"1,61,146",1,61,146,brightBlue
"0,60,148",0,60,148,brightBlue
"0,20,74",0,20,74,brightBlue
"0,59,142",0,59,142,brightBlue
"0,65,154",0,65,154,brightBlue
"2,63,150",2,63,150,brightBlue
"0,28,78",0,28,78,brightBlue
"0,18,62",0,18,62,brightBlue
"0,17,64",0,17,64,brightBlue
"1,58,137",1,58,137,brightBlue
"1,66,148",1,66,148,brightBlue
"0,67,153",0,67,153,brightBlue
"5,37,99",5,37,99,brightBlue
"0,51,131",0,51,131,brightBlue
"1,56,139",1,56,139,brightBlue
"0,54,132",0,54,132,brightBlue
"0,25,83",0,25,83,brightBlue
"0,28,84",0,28,84,brightBlue
"0,22,71",0,22,71,brightBlue
"0,63,150",0,63,150,brightBlue
"0,18,67",0,18,67,brightBlue
"0,15,64",0,15,64,brightBlue
"0,59,141",0,59,141,brightBlue
"0,53,140",0,53,140,brightBlue
"0,64,154",0,64,154,brightBlue
"1,73,151",1,73,151,brightBlue
